Num,Count,Radius,Height,StartAngle,StopAngle,Diameter,,Vdiameter
1,12,0.0711574191366426,0.494910720940466,0,360,0.142314838273285,8.18181818181818,0.989821441880933
2,12,0.140866278420715,0.479746486807249,0,360,0.28173255684143,16.3636363636364,0.959492973614497
3,18,0.207707506500943,0.454815997677259,0,360,0.415415013001886,24.5454545454545,0.909631995354518
4,24,0.270320408727799,0.420626766415591,0,360,0.540640817455598,32.7272727272727,0.841253532831181
5,30,0.327430366972643,0.377874787177129,0,360,0.654860733945285,40.9090909090909,0.755749574354258
6,20,0.377874787177129,0.327430366972643,95,265,0.755749574354258,49.0909090909091,0.654860733945285
7,16,0.420626766415591,0.270320408727799,100,260,0.841253532831181,57.2727272727273,0.540640817455598
8,18,0.454815997677259,0.207707506500943,100,260,0.909631995354518,65.4545454545455,0.415415013001886
9,18,0.479746486807249,0.140866278420715,100,260,0.959492973614497,73.6363636363636,0.28173255684143
10,30,0.494910720940466,0.0711574191366427,100,260,0.989821441880933,81.8181818181818,0.142314838273285
11,30,0.5,0,100,260,1,90,0
12,30,0.494910720940466,-0.0711574191366426,100,260,0.989821441880933,98.1818181818182,-0.142314838273285
13,30,0.479746486807249,-0.140866278420715,60,300,0.959492973614497,106.363636363636,-0.28173255684143
14,30,0.454815997677259,-0.207707506500943,60,300,0.909631995354518,114.545454545455,-0.415415013001886
15,30,0.420626766415591,-0.270320408727799,60,300,0.841253532831181,122.727272727273,-0.540640817455597
16,30,0.377874787177129,-0.327430366972643,60,300,0.755749574354258,130.909090909091,-0.654860733945285
