"channel","net","subnet","universe","netaddress"
"universe110","0","0","109","10.0.1.71"
"universe111","0","0","110","10.0.1.71"
"universe112","0","0","111","10.0.1.71"
"universe120","0","0","119","10.0.1.71"
"universe121","0","0","120","10.0.1.71"
"universe122","0","0","121","10.0.1.71"
"universe130","0","0","129","10.0.1.71"
"universe131","0","0","130","10.0.1.71"
"universe132","0","0","131","10.0.1.71"
"universe140","0","0","139","10.0.1.71"
"universe141","0","0","140","10.0.1.71"
"universe142","0","0","141","10.0.1.71"
"universe150","0","0","149","10.0.1.71"
"universe151","0","0","150","10.0.1.71"
"universe152","0","0","151","10.0.1.71"
"universe160","0","0","159","10.0.1.71"
"universe161","0","0","160","10.0.1.71"
"universe162","0","0","161","10.0.1.71"
"universe210","0","0","209","10.0.1.71"
"universe211","0","0","210","10.0.1.71"
"universe212","0","0","211","10.0.1.71"
"universe220","0","0","219","10.0.1.71"
"universe221","0","0","220","10.0.1.71"
"universe222","0","0","221","10.0.1.71"
"universe230","0","0","229","10.0.1.71"
"universe231","0","0","230","10.0.1.71"
"universe232","0","0","231","10.0.1.71"
"universe240","0","0","239","10.0.1.71"
"universe241","0","0","240","10.0.1.71"
"universe242","0","0","241","10.0.1.71"
"universe250","0","0","249","10.0.1.71"
"universe251","0","0","250","10.0.1.71"
"universe252","0","0","251","10.0.1.71"
"universe260","0","0","259","10.0.1.71"
"universe261","0","0","260","10.0.1.71"
"universe262","0","0","261","10.0.1.71"
"universe310","0","0","309","10.0.1.71"
"universe311","0","0","310","10.0.1.71"
"universe312","0","0","311","10.0.1.71"
"universe320","0","0","319","10.0.1.71"
"universe321","0","0","320","10.0.1.71"
"universe322","0","0","321","10.0.1.71"
"universe330","0","0","329","10.0.1.71"
"universe331","0","0","330","10.0.1.71"
"universe332","0","0","331","10.0.1.71"
"universe340","0","0","339","10.0.1.71"
"universe341","0","0","340","10.0.1.71"
"universe342","0","0","341","10.0.1.71"
"universe350","0","0","349","10.0.1.71"
"universe351","0","0","350","10.0.1.71"
"universe352","0","0","351","10.0.1.71"
"universe360","0","0","359","10.0.1.71"
"universe361","0","0","360","10.0.1.71"
"universe362","0","0","361","10.0.1.71"
"universe410","0","0","409","10.0.1.72"
"universe411","0","0","410","10.0.1.72"
"universe412","0","0","411","10.0.1.72"
"universe420","0","0","419","10.0.1.72"
"universe421","0","0","420","10.0.1.72"
"universe422","0","0","421","10.0.1.72"
"universe430","0","0","429","10.0.1.72"
"universe431","0","0","430","10.0.1.72"
"universe432","0","0","431","10.0.1.72"
"universe440","0","0","439","10.0.1.72"
"universe441","0","0","440","10.0.1.72"
"universe442","0","0","441","10.0.1.72"
"universe450","0","0","449","10.0.1.72"
"universe451","0","0","450","10.0.1.72"
"universe452","0","0","451","10.0.1.72"
"universe460","0","0","459","10.0.1.72"
"universe461","0","0","460","10.0.1.72"
"universe462","0","0","461","10.0.1.72"
"universe510","0","0","509","10.0.1.72"
"universe511","0","0","510","10.0.1.72"
"universe512","0","0","511","10.0.1.72"
"universe520","0","0","519","10.0.1.72"
"universe521","0","0","520","10.0.1.72"
"universe522","0","0","521","10.0.1.72"
"universe530","0","0","529","10.0.1.72"
"universe531","0","0","530","10.0.1.72"
"universe532","0","0","531","10.0.1.72"
"universe540","0","0","539","10.0.1.72"
"universe541","0","0","540","10.0.1.72"
"universe542","0","0","541","10.0.1.72"
"universe550","0","0","549","10.0.1.72"
"universe551","0","0","550","10.0.1.72"
"universe552","0","0","551","10.0.1.72"
"universe560","0","0","559","10.0.1.72"
"universe561","0","0","560","10.0.1.72"
"universe562","0","0","561","10.0.1.72"
"universe610","0","0","609","10.0.1.72"
"universe611","0","0","610","10.0.1.72"
"universe612","0","0","611","10.0.1.72"
"universe620","0","0","619","10.0.1.72"
"universe621","0","0","620","10.0.1.72"
"universe622","0","0","621","10.0.1.72"
"universe630","0","0","629","10.0.1.72"
"universe631","0","0","630","10.0.1.72"
"universe632","0","0","631","10.0.1.72"
"universe640","0","0","639","10.0.1.72"
"universe641","0","0","640","10.0.1.72"
"universe642","0","0","641","10.0.1.72"
"universe650","0","0","649","10.0.1.72"
"universe651","0","0","650","10.0.1.72"
"universe652","0","0","651","10.0.1.72"
"universe660","0","0","659","10.0.1.72"
"universe661","0","0","660","10.0.1.72"
"universe662","0","0","661","10.0.1.72"
"universe710","0","0","709","10.0.1.72"
"universe711","0","0","710","10.0.1.72"
"universe712","0","0","711","10.0.1.72"
"universe720","0","0","719","10.0.1.72"
"universe721","0","0","720","10.0.1.72"
"universe722","0","0","721","10.0.1.72"
"universe730","0","0","729","10.0.1.72"
"universe731","0","0","730","10.0.1.72"
"universe732","0","0","731","10.0.1.72"
"universe740","0","0","739","10.0.1.72"
"universe741","0","0","740","10.0.1.72"
"universe742","0","0","741","10.0.1.72"
"universe750","0","0","749","10.0.1.72"
"universe751","0","0","750","10.0.1.72"
"universe752","0","0","751","10.0.1.72"
"universe760","0","0","759","10.0.1.72"
"universe761","0","0","760","10.0.1.72"
"universe762","0","0","761","10.0.1.72"
"universe1","0","0","0","10.0.1.73"
"universe2","0","0","1","10.0.1.73"
"universe3","0","0","2","10.0.1.73"
"universe4","0","0","3","10.0.1.74"
"universe5","0","0","4","10.0.1.74"
"universe6","0","0","5","10.0.1.74"
"universe7","0","0","6","10.0.1.74"
"universe11","0","0","10","10.0.1.73"
"universe12","0","0","11","10.0.1.73"
"universe13","0","0","12","10.0.1.73"
"universe14","0","0","13","10.0.1.73"
"universe21","0","0","20","10.0.1.73"
"universe22","0","0","21","10.0.1.73"
"universe23","0","0","22","10.0.1.73"
"universe24","0","0","23","10.0.1.73"
"universe31","0","0","30","10.0.1.73"
"universe32","0","0","31","10.0.1.73"
"universe33","0","0","32","10.0.1.73"
"universe34","0","0","33","10.0.1.73"
"universe41","0","0","40","10.0.1.74"
"universe42","0","0","41","10.0.1.74"
"universe43","0","0","42","10.0.1.74"
"universe44","0","0","43","10.0.1.74"
"universe51","0","0","50","10.0.1.74"
"universe52","0","0","51","10.0.1.74"
"universe53","0","0","52","10.0.1.74"
"universe54","0","0","53","10.0.1.74"
"universe61","0","0","60","10.0.1.74"
"universe62","0","0","61","10.0.1.74"
"universe63","0","0","62","10.0.1.74"
"universe64","0","0","63","10.0.1.74"
"universe71","0","0","70","10.0.1.74"
"universe72","0","0","71","10.0.1.74"
"universe73","0","0","72","10.0.1.74"
"universe84","0","0","83","10.0.1.74"
"universe85","0","0","84","10.0.1.74"
"universe86","0","0","85","10.0.1.74"
"universe87","0","0","86","10.0.1.74"
